ID	Style	Category	Artist	Title	Year	Image URL	Painting Info URL	Artist Info URL	Is painting	Face/body	Ave. art rating	Art (image+title): agreeableness	Art (image+title): anger	Art (image+title): anticipation	Art (image+title): arrogance	Art (image+title): disagreeableness	Art (image+title): disgust	Art (image+title): fear	Art (image+title): gratitude	Art (image+title): happiness	Art (image+title): humility	Art (image+title): love	Art (image+title): optimism	Art (image+title): pessimism	Art (image+title): regret	Art (image+title): sadness	Art (image+title): shame	Art (image+title): shyness	Art (image+title): surprise	Art (image+title): trust	Art (image+title): neutral	ImageOnly: agreeableness	ImageOnly: anger	ImageOnly: anticipation	ImageOnly: arrogance	ImageOnly: disagreeableness	ImageOnly: disgust	ImageOnly: fear	ImageOnly: gratitude	ImageOnly: happiness	ImageOnly: humility	ImageOnly: love	ImageOnly: optimism	ImageOnly: pessimism	ImageOnly: regret	ImageOnly: sadness	ImageOnly: shame	ImageOnly: shyness	ImageOnly: surprise	ImageOnly: trust	ImageOnly: neutral	TitleOnly: agreeableness	TitleOnly: anger	TitleOnly: anticipation	TitleOnly: arrogance	TitleOnly: disagreeableness	TitleOnly: disgust	TitleOnly: fear	TitleOnly: gratitude	TitleOnly: happiness	TitleOnly: humility	TitleOnly: love	TitleOnly: optimism	TitleOnly: pessimism	TitleOnly: regret	TitleOnly: sadness	TitleOnly: shame	TitleOnly: shyness	TitleOnly: surprise	TitleOnly: trust	TitleOnly: neutral
58c6237dedc2c9c7dc0de1ae	Modern Art	Impressionism	Charles Courtney Curran	In the Luxembourg Garden	1889	https://use2-uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg	https://www.wikiart.org/en/charles-courtney-curran/in-the-luxembourg-garden-1889	https://www.wikiart.org/en/charles-courtney-curran	yes	face	2.33	0.036	0.012	0.071	0.012	0.012	0	0.036	0.131	0.750	0.357	0.357	0.333	0.048	0.024	0.131	0	0.012	0.048	0.274	0	0.060	0.012	0.071	0.024	0.012	0	0.012	0.119	0.726	0.369	0.250	0.274	0.012	0	0.131	0	0.024	0.024	0.250	0	0.060	0.012	0.179	0	0.012	0.012	0	0.107	0.714	0.190	0.155	0.238	0.024	0.012	0.024	0.012	0	0.048	0.155	0
577280dfedc2cb3880f28e76	Modern Art	Neo-Expressionism	Keith Haring	The Marriage of Heaven and Hell	1984	https://use2-uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg	https://www.wikiart.org/en/keith-haring/the-marriage-of-heaven-and-hell-1984	https://www.wikiart.org/en/keith-haring	yes	body	0.70	0	0	0.500	0	0.400	0.100	0.300	0	0.100	0	0.100	0.100	0.200	0.100	0.100	0	0	0.500	0.100	0	0	0	0.100	0	0	0.100	0.300	0	0.100	0.100	0	0.200	0.200	0.100	0.200	0	0	0.500	0	0	0	0	0.600	0	0.300	0	0.200	0	0.300	0	0.200	0	0.100	0	0	0	0	0.200	0	0
57727f2dedc2cb3880ed5fa9	Modern Art	Post-Impressionism	Jozsef Rippl-Ronai	Uncle Piacsek in front of the Black Sideboard	1906	https://use2-uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg	https://www.wikiart.org/en/jozsef-rippl-ronai/uncle-piacsek-in-front-of-the-black-sideboard-1906	https://www.wikiart.org/en/jozsef-rippl-ronai	yes	face	1.60	0	0	0.200	0	0	0	0	0	0.500	0.500	0	0.300	0	0	0	0	0	0.100	0.300	0	0	0	0.200	0	0	0	0	0.100	0.500	0.300	0	0.300	0	0	0	0	0	0.100	0.200	0	0	0	0.600	0	0	0	0	0	0.200	0.400	0	0	0	0	0	0	0	0.100	0.100	0
58d1240cedc2c94f900fc610	Modern Art	Cubism	Vadym Meller	Monk. For the Play &#39;Mazeppa&#39;	1920	https://use2-uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg	https://www.wikiart.org/en/vadym-meller/monk-for-the-play-mazeppa-1920	https://www.wikiart.org/en/vadym-meller	yes	face	0.82	0	0	0.091	0	0	0.091	0.091	0	0.091	0.182	0	0.091	0.091	0.091	0.273	0	0.091	0.182	0	0	0	0	0.091	0	0	0.091	0	0	0.091	0.091	0	0	0.182	0	0.364	0	0	0.273	0	0	0	0	0.273	0	0	0	0	0	0.091	0.364	0.091	0.091	0	0	0.091	0	0.091	0.182	0.091	0
57727de7edc2cb3880e91f26	Post Renaissance Art	Romanticism	David Wilkie	The Defence of Sarago&#231;a	1828	https://use2-uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg	https://www.wikiart.org/en/david-wilkie/the-defence-of-sarago-a	https://www.wikiart.org/en/david-wilkie	yes	face	1.69	0.077	0.231	0.154	0.231	0.308	0.231	0.308	0.154	0.154	0.077	0.077	0.231	0.154	0.154	0.231	0.154	0.077	0.077	0.538	0	0.077	0.077	0.077	0.231	0.308	0.308	0.308	0.231	0.154	0.077	0.077	0.231	0.231	0.077	0.231	0.154	0.077	0.154	0.231	0	0.154	0.308	0.231	0.077	0.308	0.077	0.231	0.077	0.077	0.154	0.077	0.231	0.077	0.077	0.154	0.077	0.077	0.154	0.385	0
57728297edc2cb3880f81f5b	Modern Art	Expressionism	Lyonel Feininger	In a Village Near Paris (Street in Paris, Pink Sky)	1909	https://use2-uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg	https://www.wikiart.org/en/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909	https://www.wikiart.org/en/lyonel-feininger	yes	face	1.24	0.045	0	0.134	0.045	0.030	0.030	0.134	0.030	0.358	0.328	0.104	0.134	0.104	0.030	0.090	0.015	0.015	0.224	0.090	0	0.045	0	0.149	0.015	0.030	0.045	0.164	0.030	0.284	0.194	0.015	0.134	0.060	0.030	0.119	0.030	0	0.299	0.060	0	0.045	0	0.209	0.015	0	0	0.030	0.045	0.463	0.373	0.075	0.164	0	0.015	0.030	0	0.030	0.045	0.104	0.030
5772797dedc2cb3880db5504	Post Renaissance Art	Realism	Nikolai Ge	Last Supper	1863	https://use2-uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg	https://www.wikiart.org/en/nikolai-ge/last-supper	https://www.wikiart.org/en/nikolai-ge	yes	face	0.90	0	0	0.100	0.100	0	0	0.600	0	0.100	0.300	0	0	0.100	0	0.300	0	0	0	0.100	0	0	0	0	0	0	0	0.700	0	0.100	0.300	0	0	0.100	0	0.100	0	0	0	0	0	0	0	0.100	0.100	0	0	0	0.100	0.200	0.500	0	0	0.100	0	0.300	0	0	0	0.200	0
57726e48edc2cb3880b69b14	Post Renaissance Art	Realism	Charles-Francois Daubigny	Spring	1857	https://use2-uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg	https://www.wikiart.org/en/charles-francois-daubigny/spring-1857	https://www.wikiart.org/en/charles-francois-daubigny	yes	face	2.20	0	0	0	0	0	0	0	0.100	0.700	0.400	0.100	0.400	0.100	0	0.100	0	0	0	0.200	0	0	0	0	0	0	0	0.100	0.100	0.800	0.500	0.100	0.200	0	0.100	0.100	0	0	0	0.100	0	0	0.100	0	0	0	0	0.100	0.100	0.700	0.100	0.100	0.100	0	0.100	0	0	0	0	0.100	0.100
57728255edc2cb3880f7644a	Contemporary Art	Minimalism	Robert Smithson	Mirror and Crushed Shells	1969	https://use2-uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg	https://www.wikiart.org/en/robert-smithson/mirror-and-crushed-shells-1969	https://www.wikiart.org/en/robert-smithson	yes	none	0.17	0	0	0.417	0	0.083	0.083	0.083	0	0	0.167	0.083	0	0.083	0.083	0.167	0	0	0.500	0	0.083	0.083	0.083	0.333	0	0	0.083	0	0.083	0	0.083	0	0	0.083	0	0	0.083	0	0.500	0	0.083	0.083	0.167	0.250	0	0.083	0.167	0.250	0.083	0	0.083	0	0	0.333	0	0.167	0	0	0.167	0	0
5772843bedc2cb3880fd334d	Contemporary Art	Minimalism	Richard Serra	One Ton Prop (House of Cards)	1969	https://use2-uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg	https://www.wikiart.org/en/richard-serra/one-ton-prop-house-of-cards-1969	https://www.wikiart.org/en/richard-serra	no	none	-1.70	0	0	0.100	0	0	0.200	0	0	0	0	0	0	0	0	0.100	0.100	0	0.400	0	0.100	0	0	0.200	0	0	0.100	0	0	0	0	0	0	0	0	0.200	0	0	0.600	0	0.200	0	0	0.300	0	0.100	0.100	0	0	0.200	0.200	0	0	0	0	0	0	0	0.100	0	0.100
