,ID,Style,Category,Image URL,Face/body,emotion
0,58c6237dedc2c9c7dc0de1ae,_Modern_Art,Impressionism,https://use2-uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,_face,_happiness
1,577280dfedc2cb3880f28e76,_Modern_Art,Neo-Expressionism,https://use2-uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,_body,_anger_surprise_neutral
2,57727f2dedc2cb3880ed5fa9,_Modern_Art,Post-Impressionism,https://use2-uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,_face,_happiness_shyness
3,58d1240cedc2c94f900fc610,_Modern_Art,Cubism,https://use2-uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,_face,_neutral
4,57727de7edc2cb3880e91f26,Post Renaissance Art,Romanticism,https://use2-uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,_face,_happiness
5,57728297edc2cb3880f81f5b,_Modern_Art,Expressionism,https://use2-uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,_face,_neutral
6,5772797dedc2cb3880db5504,Post Renaissance Art,Realism,https://use2-uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,_face,_fear
7,57726e48edc2cb3880b69b14,Post Renaissance Art,Realism,https://use2-uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,_face,_happiness_shyness
8,57728255edc2cb3880f7644a,_Contemporary_Art,Minimalism,https://use2-uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,_none,_surprise_neutral
9,5772843bedc2cb3880fd334d,_Contemporary_Art,Minimalism,https://use2-uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,_none,_surprise
10,577285b4edc2cb388001c741,_Modern_Art,Pop Art,https://use2-uploads8.wikiart.org/images/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg,_none,_happiness
11,5772898cedc2cb38800df3fd,Post Renaissance Art,Rococo,https://use2-uploads0.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg,_face,_happiness_sadness
12,5772849eedc2cb3880fe72ab,_Modern_Art,Color Field Painting,https://use2-uploads4.wikiart.org/images/ron-gorchov/untitled-1968.jpg,_none,_neutral
